jn	abs	pmid
37. Biochim Biophys Acta. 2012 Nov-Dec;1819(11-12):1113-22. doi:	10.1016/j.bbagrm.2012.06.001. Epub 2012 Jun 12.  The let-7 microRNA enhances heme oxygenase-1 by suppressing Bach1 and attenuates  oxidant injury in human hepatocytes.  Hou W(1), Tian Q, Steuerwald NM, Schrum LW, Bonkovsky HL.  Author information:  (1)The Liver-Biliary-Pancreatic Center, Carolinas Medical Center, Charlotte, NC,  USA. weihong.hou@carolinashealthcare.org  The let-7 microRNA (miRNA) plays important roles in human liver development and diseases such as hepatocellular carcinoma, liver fibrosis and hepatitis wherein oxidative stress accelerates the progression of these diseases. To date, the role of the let-7 miRNA family in modulation of heme oxygenase 1 (HMOX1), a key cytoprotective enzyme, remains unknown. Our aims were to determine whether let-7  miRNA directly regulates Bach1, a transcriptional repressor of the HMOX1 gene, and whether indirect up-regulation of HMOX1 by let-7 miRNA attenuates oxidant injury in human hepatocytes. The effects of let-7 miRNA on Bach1 and HMOX1 gene expression in Huh-7 and HepG2 cells were determined by real-time qRT-PCR, Western blot, and luciferase reporter assays. Dual luciferase reporter assays revealed that let-7b, let-7c, or miR-98 significantly decreased Bach1 3'-untranslated region (3'-UTR)-dependent luciferase activity but not mutant Bach1 3'-UTR-dependent luciferase activity, whereas mutant let-7 miRNA containing base  complementarity with mutant Bach1 3'-UTR restored its effect on mutant reporter activity. let-7b, let-7c, or miR-98 down-regulated Bach1 protein levels by 50-70%, and subsequently up-regulated HMOX1 gene expression by 3-4 fold, compared with non-specific controls. Furthermore, Huh-7 cells transfected with let-7b, let-7c or miR-98 mimic showed increased resistance against oxidant injury induced by tert-butyl-hydroperoxide (tBuOOH), whereas the protection was abrogated by over-expression of Bach1. In conclusion, let-7 miRNA directly acts on the 3'-UTR  of Bach1 and negatively regulates expression of this protein, and thereby up-regulates HMOX1 gene expression. Over-expression of the let-7 miRNA family members may represent a novel approach to protecting human hepatocytes from oxidant injury.  Copyright © 2012 Elsevier B.V. All rights reserved.  DOI: 10.1016/j.bbagrm.2012.06.001  PMCID: PMC3480558	22698995
38. J Virol. 2012 Aug;86(15):7918-33. doi: 10.1128/JVI.00567-12. Epub 2012 May 16.	 Expression of microRNA miR-122 facilitates an efficient replication in nonhepatic cells upon infection with hepatitis C virus.  Fukuhara T(1), Kambara H, Shiokawa M, Ono C, Katoh H, Morita E, Okuzaki D, Maehara Y, Koike K, Matsuura Y.  Author information:  (1)Department of Molecular Virology, Osaka University, Osaka, Japan.  Hepatitis C virus (HCV) is one of the most common etiologic agents of chronic liver diseases, including liver cirrhosis and hepatocellular carcinoma. In addition, HCV infection is often associated with extrahepatic manifestations (EHM), including mixed cryoglobulinemia and non-Hodgkin's lymphoma. However, the  mechanisms of cell tropism of HCV and HCV-induced EHM remain elusive, because in  vitro propagation of HCV has been limited in the combination of cell culture-adapted HCV (HCVcc) and several hepatic cell lines. Recently, a liver-specific microRNA called miR-122 was shown to facilitate the efficient propagation of HCVcc in several hepatic cell lines. In this study, we evaluated the importance of miR-122 on the replication of HCV in nonhepatic cells. Among the nonhepatic cell lines expressing functional HCV entry receptors, Hec1B cells  derived from human uterus exhibited a low level of replication of the HCV genome  upon infection with HCVcc. Exogenous expression of miR-122 in several cells facilitates efficient viral replication but not production of infectious particles, probably due to the lack of hepatocytic lipid metabolism. Furthermore, expression of mutant miR-122 carrying a substitution in a seed domain was required for efficient replication of mutant HCVcc carrying complementary substitutions in miR-122-binding sites, suggesting that specific interaction between miR-122 and HCV RNA is essential for the enhancement of viral replication. In conclusion, although miR-122 facilitates efficient viral replication in nonhepatic cells, factors other than miR-122, which are most likely specific to hepatocytes, are required for HCV assembly.  DOI: 10.1128/JVI.00567-12  PMCID: PMC3421686	22593164
39. Hepatology. 2012 Aug;56(2):632-43. doi: 10.1002/hep.25695. Epub 2012 Jun 11.	 Androgen pathway stimulates microRNA-216a transcription to suppress the tumor suppressor in lung cancer-1 gene in early hepatocarcinogenesis.  Chen PJ(1), Yeh SH, Liu WH, Lin CC, Huang HC, Chen CL, Chen DS, Chen PJ.  Author information:  (1)Department of Microbiology, National Taiwan University College of Medicine, Taipei, Taiwan.  Deregulation of microRNAs (miRNAs) is common in advanced human hepatocellular carcinoma (HCC); however, the ones involved in early carcinogenesis have not yet  been investigated. By examining the expression of 22 HCC-related miRNAs between precancerous and cancerous liver tissues, we found miR-216a and miR-224 were significantly up-regulated, starting from the precancerous stage. Furthermore, the elevation of miR-216a was mainly identified in male patients. To study this gender difference, we demonstrated that pri-miR-216a is activated transcriptionally by the androgen pathway in a ligand-dependent manner and is further enhanced by the hepatitis B virus X protein. The transcription initiation site for pri-miR-216a was delineated, and one putative androgen-responsive element site was identified within its promoter region. Mutation of this site abolished the elevation of pri-miR-216a by the androgen pathway. One target of miR-216a was shown to be the tumor suppressor in lung cancer-1 gene (TSLC1) messenger RNA (mRNA) through the three target sites at its 3' untranslated region. Finally, the androgen receptor level increased in male liver tissues during hepatocarcinogenesis, starting from the precancerous stage, with a concomitant elevation of miR-216a but a decrease of TSLC1.CONCLUSION: The current study discovered the up-regulation of miRNA-216a by the androgen pathway and a subsequent suppression of TSLC1 as a new mechanism for the androgen pathway in early hepatocarcinogenesis.  Copyright © 2012 American Association for the Study of Liver Diseases.  DOI: 10.1002/hep.25695 	22392644
40. Genet Test Mol Biomarkers. 2012 May;16(5):330-4. doi: 10.1089/gtmb.2011.0208.	Epub 2012 Jan 27.  The mitochondrial DNA 9-bp deletion polymorphism is a risk factor for hepatocellular carcinoma in the Chinese population.  Jin Y(1), Yu Q, Zhou D, Chen L, Huang X, Xu G, Huang J, Gao X, Gao Y, Shen L.  Author information:  (1)Department of Vascular/Interventional Radiology, Affiliated Suzhou Hospital of Nanjing Medical University, Suzhou Municipal Hospital, Suzhou, P.R. China.  Hepatocellular carcinoma (HCC) is one of the most common malignancies worldwide.  Although molecular biology of carcinogenesis and tumor progression of HCC has been increasingly understood with intense research in recent years, the molecular and cellular mechanisms of HCC pathogenesis are still poorly understood. In the present study, a case-control study including 390 HCC patients and 431 healthy controls was conducted to investigate the association of HCC susceptibility with  the mitochondrial DNA (mtDNA) 9-bp deletion polymorphism in Chinese population. Chi-square testing showed that frequencies of 9-bp one repeat or two repeats were significantly different between HCC and control groups. Carriage of 9-bp one repeat fragment was associated with a significantly increased risk of developing  HCC (odds ratio=1.48, 95% confidence interval: 1.03-2.14, p=0.027). Stratification analysis further showed that the differences between cases and controls were more obvious in drinkers than nondrinkers. Computational modeling of the 9-bp deletion polymorphism suggests that the mtDNA sequence without the 9-bp deletion polymorphism lies within a predicted binding site (seed region) for hsa-miR-519c-5p and hsa-miR-526a. Our data suggested that the 9-bp deletion polymorphism in mitochondria may influence HCC risk, likely through specific microRNA-mediated regulation, which was possibly involved in the pathogenesis of  HCC. The replication of our studies in other populations with larger sample size  is warranted.  DOI: 10.1089/gtmb.2011.0208  PMCID: PMC3354583	22283196
41. Liver Int. 2012 May;32(5):752-60. doi: 10.1111/j.1478-3231.2011.02750.x. Epub	2012 Jan 26.  MicroRNA-122 suppresses cell proliferation and induces cell apoptosis in hepatocellular carcinoma by directly targeting Wnt/β-catenin pathway.  Xu J(1), Zhu X, Wu L, Yang R, Yang Z, Wang Q, Wu F.  Author information:  (1)Department of Oncological Surgery, the First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China.  Comment in     Liver Int. 2012 May;32(5):695-7.  AIMS: To validate whether the anti-cancer effect of microRNA-122 (miR-122) on hepatocellular carcinoma (HCC) is mediated through regulating Wnt/β-catenin signalling pathways. METHODS: The expression levels of miR-122 in HCC tissues and varied hepatoma cells were quantified by real-time PCR. MiR-122 agomir was transfected into HepG2, Hep3B cells to over-express miR-122. The effect of over-expression miR-122 on proliferation and apoptosis of HepG2 and Hep3B cells was evaluated using CCK-8 kit and flow cytometer respectively. The 3'-UTR segments of Wnt1 containing the miR-122 binding sites were amplified by PCR and the luciferase activity in the transfected cells was assayed. Wnt1 mRNA level was quantified using RT-PCR. Protein levels of Wnt1, β-catenin and TCF-4 were detected using Western blotting. RESULTS: In comparison with the expression level of miR-122 in para-cancerous tissues or Chang liver cell, the expression level in HCC tissues or varied hepatoma cells was significantly decreased (P < 0.05). Over-expression of miR-122 significantly inhibited the proliferation (P < 0.05), and promoted the apoptosis  of HepG2 and Hep3B cells. Over-expressed miR-122 down-regulated the protein levels of Wnt1, β-catenin and TCF-4 (P < 0.05). MiR-122 suppressed the luciferase activity of the pmiR-Wnt1-wt by approximately 50% compared with the negative control, while mutation or removal of the miR-122 binding site using siRNA or mir-122 inhibitor blocked the suppressive effect (P < 0.05). CONCLUSIONS: MiR-122 expression is down-regulated in human HCC. Over-expression of miR-122 inhibits HCC cell growth and promotes the cell apoptosis by affecting  Wnt/β-catenin-TCF signalling pathway.  © 2012 John Wiley & Sons A/S.  DOI: 10.1111/j.1478-3231.2011.02750.x 	22276989
42. Curr Genomics. 2011 Apr;12(2):130-7. doi: 10.2174/138920211795564359.	 Genetic and epigenetic signatures in human hepatocellular carcinoma: a systematic review.  Nishida N(1), Goel A.  Author information:  (1)Department of Gastroenterology and Hepatology, Kyoto University Graduate School of Medicine, 54 Kawahara-cho, Shogoin, Sakyo-ku, Kyoto 606-8507, Japan.  Hepatocellular carcinoma (HCC) is the third most common cause of cancer deaths worldwide, and the incidence of this fatal disease is still on rise. The majority of HCCs emerge in the background of a chronic liver disease, such as chronic hepatitis and liver cirrhosis. The current understanding is that majority of HCCs evolve as a consequence of chronic inflammation and due to the presence of infection with hepatitis viruses. These underlying pathogenic stimuli subsequently induce a spectrum of genetic and epigenetic alterations in several cancer-related genes, which are involved in cell-cycle regulation, cell growth and adhesion. Such widespread genomic alterations cause disruption of normal cellular signaling and finally lead to the acquisition of a malignant phenotype in HCC. In general, the type of gene alterations, such as point mutations, deletion of chromosomal regions and abnormal methylation of gene promoters differ according to the individual targeted gene. In HCC, incidence of genetic alterations is relatively rare and is limited to a subset of few cancer-specific  genes, such as the tumor suppressor p53, RB genes and oncogenes such as the CTNNB1. In contrast, epigenetic changes that involve aberrant methylation of genes and other post-transcriptional histone modifications occur far more frequently, and some of these epigenetic alterations are now being exploited for  the development of molecular diagnostic signatures for HCC. In addition, recent findings of unique microRNA expression profiles also provide an evidence for the  existence of novel mechanisms for gene expression regulation in HCC. In this review article, we will review the current state of knowledge on the activation of various oncogenic pathways and the inactivation of tumor suppressor pathways in HCC that result in the disruption of cancer-related gene function. In addition, we will specifically emphasize the clinical implication of some of these genetic and epigenetic alterations in the management of hepatocarcinogenesis.  DOI: 10.2174/138920211795564359  PMCID: PMC3129047	21966251
43. Eur J Cancer. 2011 Aug;47(12):1789-97. doi: 10.1016/j.ejca.2011.04.027. Epub 2011	May 24.  Molecular classification of hepatocellular carcinoma anno 2011.  van Malenstein H(1), van Pelt J, Verslype C.  Author information:  (1)Department of Hepatology, University Hospital Gasthuisberg Leuven, Belgium. Hannah.vanmalenstein@med.kuleuven.be  Hepatocellular carcinoma has an increasing incidence and high mortality. Treatment options are limited if the disease is not diagnosed in its early stage. The natural course of the disease is aggressive but not always predictable. Molecular profiling is a promising tool for classification in order to optimize prognosis prediction and treatment for an individual patient. In the last decade  a large amount of studies has been conducted to better classify hepatocellular carcinomas. The focus of this review is on implications of molecular classification for prognosis and therapeutic decision making in HCC patients. Most studies used microarray technique for genome wide profiling, but other methods to detect genomic changes and microRNA are gaining interest. The whole genome profiling studies identified differences in affected signalling and tried  to relate this to prognosis. Some common subgroups were identified, such as the proliferation cluster and the beta-catenin cluster. However, there is still little overlap between most studies. Better study design and bio-informatical analysis might help in this context.  Copyright © 2011 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.ejca.2011.04.027 	21612914
44. Gastroenterology. 2011 May;140(5):1618-28.e16. doi: 10.1053/j.gastro.2011.02.009.	Epub 2011 Feb 13.  MicroRNA-based classification of hepatocellular carcinoma and oncogenic role of miR-517a.  Toffanin S(1), Hoshida Y, Lachenmayer A, Villanueva A, Cabellos L, Minguez B, Savic R, Ward SC, Thung S, Chiang DY, Alsinet C, Tovar V, Roayaie S, Schwartz M,  Bruix J, Waxman S, Friedman SL, Golub T, Mazzaferro V, Llovet JM.  Author information:  (1)Mount Sinai Liver Cancer Program, Division of Liver Diseases, Department of Medicine, Tisch Cancer Institute, New York, New York, USA.  BACKGROUND & AIMS: Hepatocellular carcinoma (HCC) is a heterogeneous tumor that develops via activation of multiple pathways and molecular alterations. It has been a challenge to identify molecular classes of HCC and design treatment strategies for each specific subtype. MicroRNAs (miRNAs) are involved in HCC pathogenesis, and their expression profiles have been used to classify cancers. We analyzed miRNA expression in human HCC samples to identify molecular subclasses and oncogenic miRNAs. METHODS: We performed miRNA profiling of 89 HCC samples using a ligation-mediated amplification method. Subclasses were identified by unsupervised clustering analysis. We identified molecular features specific for each subclass using expression pattern (Affymetrix U133 2.0; Affymetrix, Santa Clara, CA), DNA change (Affymetrix STY Mapping Array), mutation (CTNNB1), and immunohistochemical (phosphor[p]-protein kinase B, p-insulin growth factor-IR, p-S6, p-epidermal growth factor receptor, β-catenin) analyses. The roles of selected miRNAs were investigated in cell lines and in an orthotopic model of HCC. RESULTS: We identified 3 main clusters of HCCs: the wingless-type MMTV integration site (32 of 89; 36%), interferon-related (29 of 89; 33%), and proliferation (28 of 89; 31%) subclasses. A subset of patients with tumors in the proliferation subclass (8 of 89; 9%) overexpressed a family of poorly characterized miRNAs from chr19q13.42. Expression of miR-517a and miR-520c (from  ch19q13.42) increased proliferation, migration, and invasion of HCC cells in vitro. MiR-517a promoted tumorigenesis and metastatic dissemination in vivo. CONCLUSIONS: We propose miRNA-based classification of 3 subclasses of HCC. Among  the proliferation class, miR-517a is an oncogenic miRNA that promotes tumor progression. There is rationale for developing therapies that target miR-517a for patients with HCC.  Copyright © 2011 AGA Institute. Published by Elsevier Inc. All rights reserved.  DOI: 10.1053/j.gastro.2011.02.009  PMCID: PMC3680790	21324318
45. Hepatology. 2010 Nov;52(5):1702-12. doi: 10.1002/hep.23875.	 A novel GSK-3 beta-C/EBP alpha-miR-122-insulin-like growth factor 1 receptor regulatory circuitry in human hepatocellular carcinoma.  Zeng C(1), Wang R, Li D, Lin XJ, Wei QK, Yuan Y, Wang Q, Chen W, Zhuang SM.  Author information:  (1)Key Laboratory of Gene Engineering of the Ministry of Education, State Key Laboratory of Biocontrol, School of Life Sciences, Sun Yat-sen University, Guangzhou, People's Republic of China.  miR-122 is a highly abundant, hepatocyte-specific microRNA. The biomedical significance and regulatory mechanisms of miR-122 remain obscure. We explored the role of miR-122 in tumorigenesis in the context of gene regulatory network. The miR-122 promoter and its transactivator were identified by way of luciferase reporter system, electrophoretic mobility shift, and chromatin immunoprecipitation assays. The miR-122 regulatory circuitry and its implication  in hepatocarcinogenesis were identified using livers of different development stages, human hepatocellular carcinoma (HCC) tissues and cell lines, and aflatoxin B₁ (AFB₁)-transformed cells. We characterized the -5.3 to -4.8 kb region upstream of miR-122 precursor as miR-122 promoter. Further investigation revealed that deletion of predicted CCAAT/enhancer-binding protein alpha (C/EBPα) binding sites C/EBPα knockdown significantly reduced miR-122 promoter activity and endogenous miR-122 expression; and C/EBPα directly interacted with the miR-122 promoter in vitro and in vivo. These data suggest that C/EBPα is a transactivator for miR-122 transcription. We further demonstrated that miR-122 suppressed insulin-like growth factor 1 receptor (IGF-1R) translation and sustained glycogen synthase kinase-3 beta (GSK-3β) activity. The activated GSK-3β not only repressed cell proliferation, but also activated C/EBPα, which maintained miR-122 levels and thereby enforced IGF-1R suppression. Interestingly, down-regulation of miR-122 and C/EBPα, and up-regulation of IGF-1R were frequently observed in HCC tissues, and decreased miR-122 levels were associated  with worse survival of HCC patients. Moreover, AFB₁ exposure resulted in decreased activity in GSK-3β, C/EBPα, and miR-122 and increased levels of IGF-1R, whereas restoration of miR-122 suppressed the tumorigenicity of HCC and AFB₁-transformed cells.CONCLUSION: We have identified a novel GSK-3β-C/EBPα-miR-122-IGF-1R regulatory circuitry whose dysfunction may contribute to the development of HCC. Our findings provide new insight into miR-122's function and the mechanisms of hepatocarcinogenesis.  DOI: 10.1002/hep.23875 	21038412
46. Surgery. 2010 Aug;148(2):291-7. doi: 10.1016/j.surg.2010.05.007. Epub 2010 Jun	23.  Micro-RNA-181a regulates osteopontin-dependent metastatic function in hepatocellular cancer cell lines.  Bhattacharya SD(1), Garrison J, Guo H, Mi Z, Markovic J, Kim VM, Kuo PC.  Author information:  (1)Department of Surgery, Duke University Medical Center, Durham, NC, USA.  BACKGROUND: Osteopontin (OPN) is a variably expressed, secreted glycophosphoprotein that mediates the growth and metastases of hepatocellular cancer (HCC). MicroRNAs (miRNAs) may be responsible for variant OPN expression, interrupting translation by binding OPN messenger RNA (mRNA) in 3'-untranslated regions (UTRs). METHODS: A microarray analysis identified miRNAs of interest. Plasmid constructs  using a luciferase reporter with variable OPN 3'UTR mutations were transfected into 2 HCC cell lines to determine miRNA regulation of OPN expression. Western blot analyses confirmed variable OPN expression in both cell lines. Invasion, adhesion, and migration evaluated metastatic behavior in Hep G2 and Hep 3B with modified miRNA and OPN expression. RESULTS: Hep 3B produces 36 x miRNA 181a compared with Hep G2. Luciferase activity after transfection with miRNA 181a precursor was decreased in both cell  lines (P < .01); luciferase activity increased with miRNA 181a inhibitor transfection in both cell lines (P < .01). Hep 3B transfected with mutated OPN 3'UTR increased luciferase activity 108% (P < .01). Hep G2 transfected with miRNA precursor decreased OPN expression 5 x (P < .01) in Western blot analyses. Hep 3B transfection with miRNA precursor increased OPN expression 3 x (P < .01) in Western blot analyses. In vitro metastatic correlates increased in Hep 3B lines after transfection with siOPN and/or miRNA 181a inhibitor (P < .01). CONCLUSION: MiRNA 181a decreases OPN expression in HCC cell lines. This previously undescribed mechanism may confer metastatic characteristics to HCC.  Copyright 2010 Mosby, Inc. All rights reserved.  DOI: 10.1016/j.surg.2010.05.007  PMCID: PMC2905491	20576283
47. Nat Cell Biol. 2010 Apr;12(4):390-9. doi: 10.1038/ncb2039. Epub 2010 Mar 21.	 Gain of miR-151 on chromosome 8q24.3 facilitates tumour cell migration and spreading through downregulating RhoGDIA.  Ding J(1), Huang S, Wu S, Zhao Y, Liang L, Yan M, Ge C, Yao J, Chen T, Wan D, Wang H, Gu J, Yao M, Li J, Tu H, He X.  Author information:  (1)State Key Laboratory of Oncogenes and Related Genes, Shanghai Cancer Institute, Shanghai Jiao Tong University School of Medicine, Shanghai 200032, China.  Comment in     Hepatology. 2010 Sep;52(3):1164-6.  Recurrent chromosomal aberrations are often observed in hepatocellular carcinoma  (HCC), but little is known about the functional non-coding sequences, particularly microRNAs (miRNAs), at the chromosomal breakpoints in HCC. Here we show that 22 miRNAs are often amplified or deleted in HCC. MicroRNA-151 (miR-151), a frequently amplified miRNA on 8q24.3, is correlated with intrahepatic metastasis of HCC. We further show that miR-151, which is often expressed together with its host gene FAK, encoding focal adhesion kinase, significantly increases HCC cell migration and invasion in vitro and in vivo, mainly through miR-151-5p, but not through miR-151-3p. Moreover, miR-151 exerts this function by directly targeting RhoGDIA, a putative metastasis suppressor in  HCC, thus leading to the activation of Rac1, Cdc42 and Rho GTPases. In addition,  miR-151 can function synergistically with FAK to enhance HCC cell motility and spreading. Thus, our findings indicate that chromosome gain of miR-151 is a crucial stimulus for tumour invasion and metastasis of HCC.  DOI: 10.1038/ncb2039 	20305651
48. Biochem Biophys Res Commun. 2010 Jan 1;391(1):552-6. doi:	10.1016/j.bbrc.2009.11.096. Epub 2009 Nov 24.  An insertion/deletion polymorphism in the 3' untranslated region of beta-transducin repeat-containing protein (betaTrCP) is associated with susceptibility for hepatocellular carcinoma in Chinese.  Chen S(1), He Y, Ding J, Jiang Y, Jia S, Xia W, Zhao J, Lu M, Gu Z, Gao Y.  Author information:  (1)Department of Forensic Medicine, Medical College of Soochow University, Suzhou, 215123 Jiangsu, PR China.  Hepatocellular carcinoma (HCC) is an epithelial cancer which originates from hepatocytes or their progenitors. As a positive regulator of NFkappaB signaling pathway, beta-transducin repeat-containing protein (betaTrCP) is overexpressed and oncogenic in epithelial cancers, suggesting a potential role of betaTrCP in HCC susceptibility. We carried out a case-control study in a Chinese population (256 cases and 367 controls) to estimate the susceptibility to HCC associated with a 9bp insertion/deletion polymorphism (rs16405) in 3' untranslated region of betaTrCP. Using unconditional logistic regression, we found that 9N del/del and 9N ins/del genotypes were significantly associated with decreased HCC risk: OR=0.44 (0.24-0.83) (p=0.004) and OR=0.56 (0.31-1.00) (p=0.034), respectively. Furthermore, in vivo experiments showed that mRNA levels of betaTrCP from HCC tumor tissues were correlated with rs16405 genotypes. HCC tumor tissues with homozygous for 9N ins/ins has the highest level of betaTrCP, which are 3.99 and 7.04-fold higher than heterozygous 9N ins/del and homozygous 9N del/del, respectively. Based on bioinformatics prediction, we found that the risk allele for rs16405 disrupted a binding site for human microRNA-920 which would negatively regulate betaTrCP. We propose a microRNA-920 mediated betaTrCP regulation model depending on rs16405 genotype, which warrants further replication association studies and follow-up functional experiments.  Copyright 2009 Elsevier Inc. All rights reserved.  DOI: 10.1016/j.bbrc.2009.11.096 	19931512
49. Carcinogenesis. 2009 Dec;30(12):2064-9. doi: 10.1093/carcin/bgp283.	 An insertion/deletion polymorphism at miRNA-122-binding site in the interleukin-1alpha 3' untranslated region confers risk for hepatocellular carcinoma.  Gao Y(1), He Y, Ding J, Wu K, Hu B, Liu Y, Wu Y, Guo B, Shen Y, Landi D, Landi S, Zhou Y, Liu H.  Author information:  (1)Laboratory of Cellular and Molecular Tumor Immunology, Cyrus Tang Hematology Center, Jiangsu Institute of Hematology, Medical College, Soochow University, Suzhou 215123, Jiangsu, People's Repubic of China.  Hepatocellular carcinoma (HCC) is the fifth most common malignancy caused by environmental and genetic factors. MicroRNAs (miRNAs) are a class of short non-coding RNAs with posttranscriptional regulatory functions. They participate in diverse biological pathways and function as gene regulators. Genetic polymorphisms in 3' untranslated regions (3' UTRs) targeted by miRNAs alter the strength of miRNA binding, with consequences on regulation of target genes thereby affecting the individual's cancer risk. We have previously predicted polymorphisms falling in miRNA-binding regions of cancer genes. We selected an insertion/deletion (Indel) polymorphism (rs3783553) in the 3' UTR of interleukin  (IL)-1alpha (IL1A) for a case-control study in a Chinese population. With samples from 403 HCC patients and 434 healthy control individuals, strong evidence of association was observed for the variant homozygote. This association was validated in a second independent case-control study with 1074 HCC patients and 1239 healthy control individuals (odds ratio = 0.62; 95% confidence interval = 0.49-0.78). We further show that the 'TTCA' insertion allele for rs3783553 disrupts a binding site for miR-122 and miR-378, thereby increasing transcription of IL-1alpha in vitro and in vivo. These findings suggest that functional polymorphism rs3783553 in IL1A could contribute to HCC susceptibility. Considering IL-1alpha affects not only various phases of the malignant process, such as carcinogenesis, tumor growth and invasiveness, but also patterns of interactions between malignant cells and the host's immune system, our results indicated that IL-1alpha may be a promising target for immunotherapy, early diagnosis and intervention of HCC.  DOI: 10.1093/carcin/bgp283 	19917630
50. J Oncol. 2009;2009:827532. doi: 10.1155/2009/827532. Epub 2009 Oct 26.	 Investigation of the miR16-1 (C > T) + 7 Substitution in Seven Different Types of Cancer from Three Ethnic Groups.  Yazici H(1), Zipprich J, Peng T, Akisik EZ, Tigli H, Isin M, Akisik EE, Terry MB, Senie RT, Li L, Peng M, Liu Z, Dalay N, Santella RM.  Author information:  (1)Department of Environmental Health Sciences, Mailman School of Public Health,  Columbia University, NewYork, NY 10032, USA.  Background. MicroRNAs are a type of small noncoding RNA molecules that have been  shown to control gene expression in eukaryotes. Aberrant expression and alteration of miRNAs may be responsible for human diseases including cancer. An miR16-1 (C > T) + 7 gene mutation has been previously found in familial chronic lymphocytic leukemia patients, one of which reported a family history of breast cancer. miR16-1 regulates the expression of bcl-2, which is important in retinoblastoma, and is located in a genomic region that is frequently lost in nasopharyngeal and hepatocellular carcinomas (HCCs). Therefore, miR16-1 may be potentially important in the etiology of several solid tumors. To understand the  power of the miR16-1 (C > T) + 7 mutation as a prognostic and diagnostic risk factor, we investigated the mutation in patients with seven different types of cancer including 188 with breast, 102 with ovarian, and 22 nasopharyngeal carcinomas, 96 HCC, 872 chronic myeloid leukemia (CML), 39 chronic lymphocytic leukemia (CLL), and 46 retinoblastoma cases from three different ethnic groups and of hereditary and sporadic etiology. Methods. 5'Nuclease TaqMan SNP genotyping assay was used to detect the miR16-1 gene C > T substitution. Results. The miR16-1 (C > T) + 7 substitution was not detected in any of the groups studied. Conclusions. Considering the large scale of our study, the representation of different ethnicities and levels of hereditary risk, we conclude that the miR-16-1 (C > T) + 7 mutation is not a good diagnostic or prognostic indicator of risk for the cancers tested.  DOI: 10.1155/2009/827532  PMCID: PMC2766826	19865490
51. Sci China C Life Sci. 2009 Jan;52(1):31-42. doi: 10.1007/s11427-009-0014-7. Epub 	2009 Jan 19.  Current progress in epigenetic research for hepatocarcinomagenesis.  Huang J(1).  Author information:  (1)National Human Genome Research Center at Shanghai-Ministry of Science and Technology to build a healthy and disease Genomics Laboratory, Shanghai, 201203,  China. huangj@chgc.sh.cn  Hepatocellular carcinoma is the main type of primary liver cancer, and also one of the most malignant tumors. At present, the pathogenesis mechanisms of liver cancer are not entirely clear. It has been shown that inactivation of tumor suppressor genes and activation of oncogenes play a significant role in carcinogenesis, caused by the genetic and epigenetic aberrance. In the past, people generally thought that genetic mutation is a key event of tumor pathogenesis, and somatic mutation of tumor suppressor genes is in particular closely associated with oncogenesis. With deeper understanding of tumors in recent years, increasing evidence has shown that epigenetic silencing of those genes, as a result of aberrant hypermethylation of CpG islands in promoters and histone modification, is essential to carcinogenesis and metastasis. The term epigenetics refers to heritable changes in gene expression caused by regulation mechanisms, other than changes in the underlying DNA sequence. Specific epigenetic processes include DNA methylation, genome imprinting, chromotin remodeling, histone modification and microRNA regulations. This paper reviews recent epigenetics research progress in the hepatocellular carcinoma study, and tries to depict the relationships between hepatocellular carcinomagenesis and DNA methylation as well as microRNA regulation.  DOI: 10.1007/s11427-009-0014-7 	19152082
52. J Hepatol. 2009 Mar;50(3):453-60. doi: 10.1016/j.jhep.2008.06.010. Epub 2008 Jul 	9.  Regulation of the hepatitis C virus genome replication by miR-199a.  Murakami Y(1), Aly HH, Tajima A, Inoue I, Shimotohno K.  Author information:  (1)Center for Genomic Medicine, Kyoto University, Shogoin-Kawaharacho, Kyoto, Japan. ymurakami@genome.med.kyoto-u.ac.jp  Comment in     J Hepatol. 2009 Mar;50(3):441-4.  BACKGROUND/AIMS: Hepatitis C virus (HCV) infection causes chronic hepatitis and hepatocellular carcinoma. Current anti-HCV therapies are based on interferon therapy, which is insufficiently effective. microRNAs (miRNAs) are non-coding RNAs that regulate gene expression, and they have recently been shown to play an  important role in viral replication. METHODS: An algorithm-based search for miRNAs that target the HCV genome yielded  one miRNA, miR-199a, with a sequence similar to the HCV genome that is conserved  among HCV genotypes. RESULTS: Over expression of miR-199a inhibited HCV genome replication in two cells bearing replicons (replicon cell) HCV-1b or -2a, however, miRNA inhibition  by specific antisense oligonucleotide (ASO) accelerated viral replication. Prior  transfection of immortalized hepatocytes which were infected with serum of HCV genotype 1b and 2a-infected patients, with miR-199a reduced HCV RNA replication activity. Mutation in the miR-199a target site in the replicon reduced the effect of the miR-199a. HCV replicon RNA is accumulated to the RNA-induced silencing complex (RISC) when miR-199a was over-expressed to the replicon cell. This antiviral effect by miR-199a was independent of the interferon pathway. CONCLUSIONS: The results of this study suggest that miR-199a directly regulates HCV replication and may serve as a novel antiviral therapy.  DOI: 10.1016/j.jhep.2008.06.010 	19144437
